Acoelorraphe wrightii
Acrocomia aculeata
Acrocomia hassleri
Aiphanes acaulis
Aiphanes aculeata
Aiphanes chiribogensis
Aiphanes deltoidea
Aiphanes duquei
Aiphanes eggersii
Aiphanes erinacea
Aiphanes gelatinosa
Aiphanes grandis
Aiphanes hirsuta
Aiphanes leiostachys
Aiphanes lindeniana
Aiphanes linearis
Aiphanes macroloba
Aiphanes minima
Aiphanes parvifolia
Aiphanes simplex
Aiphanes spicata
Aiphanes tricuspidata
Aiphanes ulei
Aiphanes verrucosa
Aiphanes weberbaueri
Allagoptera arenaria
Allagoptera brevicalyx
Allagoptera campestris
Allagoptera leucocalyx
Ammandra dasyneura
Ammandra decasperma
Aphandra natalia
Asterogyne guianensis
Asterogyne martiana
Asterogyne ramosa
Asterogyne spicata
Asterogyne yaracuyense
Astrocaryum acaule
Astrocaryum aculeatissimum
Astrocaryum aculeatum
Astrocaryum alatum
Astrocaryum campestre
Astrocaryum chambira
Astrocaryum confertum
Astrocaryum gynacanthum
Astrocaryum huaimi
Astrocaryum jauari
Astrocaryum malybo
Astrocaryum mexicanum
Astrocaryum murumuru
Astrocaryum paramaca
Astrocaryum sciophilum
Astrocaryum standleyanum
Astrocaryum triandrum
Astrocaryum vulgare
Attalea amygdalina
Attalea attaleoides
Attalea butyracea
Attalea cohune
Attalea colenda
Attalea crassispatha
Attalea cuatrecasana
Attalea dahlgreniana
Attalea dubia
Attalea eichleri
Attalea exigua
Attalea funifera
Attalea geraensis
Attalea humilis
Attalea iguadummat
Attalea insignis
Attalea luetzelburgii
Attalea maripa
Attalea microcarpa
Attalea nucifera
Attalea oleifera
Attalea phalerata
Attalea pindobassu
Attalea racemosa
Attalea septuagenata
Attalea speciosa
Attalea spectabilis
Attalea tessmannii
Bactris acanthocarpa
Bactris acanthocarpoides
Bactris aubletiana
Bactris bahiensis
Bactris balanophora
Bactris barronis
Bactris bidentula
Bactris bifida
Bactris brongniartii
Bactris campestris
Bactris caryotifolia
Bactris caudata
Bactris charnleyae
Bactris coloniata
Bactris coloradonis
Bactris concinna
Bactris constanciae
Bactris corossilla
Bactris cuspidata
Bactris dianeura
Bactris elegans
Bactris ferruginea
Bactris fissifrons
Bactris gasipaes
Bactris gastoniana
Bactris glandulosa
Bactris glassmanii
Bactris glaucescens
Bactris gracilior
Bactris grayumii
Bactris guineensis
Bactris hatschbachii
Bactris hirta
Bactris hondurensis
Bactris horridispatha
Bactris killipii
Bactris kunorum
Bactris longiseta
Bactris gasipaes
Bactris macroacantha
Bactris maraja
Bactris mexicana
Bactris militaris
Bactris oligocarpa
Bactris panamensis
Bactris pickelii
Bactris pilosa
Bactris pliniana
Bactris plumeriana
Bactris ptariana
Bactris rhaphidacantha
Bactris riparia
Bactris setosa
Bactris setulosa
Bactris simplicifrons
Bactris soeiroana
Bactris syagroides
Bactris tefensis
Bactris tomentosa
Bactris trailiana
Bactris turbinocarpa
Bactris vulgaris
Barcella odora
Brahea aculeata
Brahea armata
Brahea brandegeei
Brahea decumbens
Brahea dulcis
Brahea edulis
Brahea moorei
Brahea nitida
Brahea pimo
Butia archeri
Butia campicola
Butia capitata
Butia eriospatha
Butia microspadix
Butia paraguayensis
Butia purpurascens
Butia yatay
Calyptrogyne allenii
Calyptrogyne anomala
Calyptrogyne condensata
Calyptrogyne costatifrons
Calyptrogyne ghiesbreghtiana
Calyptrogyne kunaria
Calyptrogyne pubescens
Calyptrogyne trichostachys
Calyptronoma occidentalis
Calyptronoma plumeriana
Calyptronoma rivalis
Ceroxylon alpinum
Ceroxylon amazonicum
Ceroxylon ceriferum
Ceroxylon echinulatum
Ceroxylon parvifrons
Ceroxylon parvum
Ceroxylon quindiuense
Ceroxylon sasaimae
Ceroxylon ventricosum
Ceroxylon vogelianum
Ceroxylon weberbaueri
Chamaedorea adscendens
Chamaedorea allenii
Chamaedorea amabilis
Chamaedorea angustisecta
Chamaedorea arenbergiana
Chamaedorea brachyclada
Chamaedorea brachypoda
Chamaedorea carchensis
Chamaedorea castillo-montii
Chamaedorea cataractarum
Chamaedorea correae
Chamaedorea costaricana
Chamaedorea dammeriana
Chamaedorea deckeriana
Chamaedorea deneversiana
Chamaedorea elatior
Chamaedorea elegans
Chamaedorea ernesti-augusti
Chamaedorea fractiflexa
Chamaedorea fragrans
Chamaedorea geonomiformis
Chamaedorea glaucifolia
Chamaedorea graminifolia
Chamaedorea guntheriana
Chamaedorea hooperiana
Chamaedorea ibarrae
Chamaedorea keeleriorum
Chamaedorea klotzschiana
Chamaedorea lehmanii
Chamaedorea liebmannii
Chamaedorea linearis
Chamaedorea lucidifrons
Chamaedorea macrospadix
Chamaedorea metallica
Chamaedorea microphylla
Chamaedorea microspadix
Chamaedorea murriensis
Chamaedorea nationsiana
Chamaedorea nubium
Chamaedorea oblongata
Chamaedorea oreophila
Chamaedorea pachecoana
Chamaedorea palmeriana
Chamaedorea parvifolia
Chamaedorea parvisecta
Chamaedorea pauciflora
Chamaedorea pinnatifrons
Chamaedorea pittieri
Chamaedorea plumosa
Chamaedorea pochutlensis
Chamaedorea pumila
Chamaedorea pygmaea
Chamaedorea queroana
Chamaedorea radicalis
Chamaedorea rhizomatosa
Chamaedorea rigida
Chamaedorea robertii
Chamaedorea rojasiana
Chamaedorea sartorii
Chamaedorea scheryi
Chamaedorea schiedeana
Chamaedorea seifrizii
Chamaedorea lucidifrons
Chamaedorea simplex
Chamaedorea stolonifera
Chamaedorea stricta
Chamaedorea sullivaniorum
Chamaedorea tenerrima
Chamaedorea tepejilote
Chamaedorea tuerckheimii
Chamaedorea undulatifolia
Chamaedorea verecunda
Chamaedorea volcanensis
Chamaedorea vulgata
Chamaedorea warscewiczii
Chamaedorea whitelockiana
Chamaedorea woodsoniana
Chelyocarpus chuco1
Chelyocarpus chuco
Chelyocarpus dianeurus
Chelyocarpus repens
Chelyocarpus ulei
Coccothrinax argentata
Coccothrinax argentea
Coccothrinax barbadensis
Coccothrinax borhidiana
Coccothrinax crinita
Coccothrinax ekmanii
Coccothrinax gracilis
Coccothrinax gundlachii
Coccothrinax hiorami
Coccothrinax inaguensis
Coccothrinax miraguama
Coccothrinax pauciramosa
Coccothrinax salvatoris
Coccothrinax spissa
Cocos nucifera
Colpothrinax cookii
Colpothrinax wrightii
Copernicia alba
Copernicia baileyana
Copernicia berteroana
Copernicia brittonorum
Copernicia cowellii
Copernicia ekmanii
Copernicia gigas
Copernicia glabrescens
Copernicia hospita
Copernicia macroglossa
Copernicia prunifera
Copernicia rigida
Copernicia tectorum
Cryosophila cookii
Cryosophila grayumii
Cryosophila guagara
Cryosophila kalbreyeri
Cryosophila macrocarpa
Cryosophila nana
Cryosophila stauracantha
Cryosophila warscewiczii
Cryosophila williamsii
Desmoncus cirrhiferus
Desmoncus giganteus
Desmoncus mitis
Desmoncus orthacanthos
Desmoncus phoenicocarpus
Desmoncus polyacanthos
Desmoncus stans
Dictyocaryum fuscum
Dictyocaryum lamarckianum
Dictyocaryum ptarianum
Elaeis oleifera
Euterpe broadwayi
Euterpe catinga
Euterpe edulis
Euterpe longebracteata
Euterpe luminosa
Euterpe oleracea
Euterpe precatoria
Gastrococos crispa
Gaussia attenuata
Gaussia gomez-pompae
Gaussia maya
Gaussia princeps
Gaussia spirituana
Geonoma appuniana
Geonoma arundinacea
Geonoma aspidiifolia
Geonoma brevispatha
Geonoma brongniartii
Geonoma camana
Geonoma chlamydostachys
Geonoma chococola
Geonoma concinna
Geonoma congesta
Geonoma cuneata
Geonoma undata subsp. undata
Geonoma deversa
Geonoma divisa
Geonoma epetiolata
Geonoma ferruginea
Geonoma gamiova
Geonoma gastoniana
Geonoma interrupta
Geonoma orbignyana subsp. orbignyana
Geonoma laxiflora
Geonoma leptospadix
Geonoma linearis
Geonoma longepedunculata
Geonoma longevaginata
Geonoma macrostachys
Geonoma maxima
Geonoma deversa
Geonoma oldemanii
Geonoma oligoclona
Geonoma orbignyana
Geonoma paradoxa
Geonoma paraguanensis
Geonoma pauciflora
Geonoma poeppigiana
Geonoma pohliana
Geonoma multisecta
Geonoma pohliana subsp. rubescens
Geonoma schottiana
Geonoma scoparia
Geonoma simplicifrons
Geonoma spinescens
Geonoma stricta
Geonoma tenuissima
Geonoma triandra
Geonoma triglochin
Geonoma trigona
Geonoma umbraculiformis
Geonoma undata
Geonoma undata subsp. undata
Hyospathe elegans
Hyospathe macrorhachis
Iriartea deltoidea
Iriartella setigera
Iriartella stenocarpa
Itaya amicorum
Juania australis
Jubaea chilensis
Leopoldinia major
Leopoldinia piassaba
Leopoldinia pulchra
Lepidocaryum tenue
Lytocaryum hoehnei
Lytocaryum weddellianum
Manicaria saccifera
Mauritia carana
Mauritia flexuosa
Mauritiella aculeata
Mauritiella armata
Mauritiella macroclada
Neonicholsonia watsonii
Oenocarpus bacaba
Oenocarpus balickii
Oenocarpus bataua
Oenocarpus circumtextus
Oenocarpus distichus
Oenocarpus makeru
Oenocarpus mapora
Oenocarpus minor
Oenocarpus simplex
Parajubaea cocoides
Parajubaea torallyi
Pholidostachys dactyloides
Pholidostachys kalbreyeri
Pholidostachys pulchra
Pholidostachys synanthera
Phytelephas aequatorialis
Phytelephas macrocarpa
Phytelephas schottii
Phytelephas seemannii
Phytelephas tenuicaulis
Phytelephas tumacana
Polyandrococos caudescens
Prestoea acuminata
Prestoea carderi
Prestoea decurrens
Prestoea ensiformis
Prestoea longepetiolata
Prestoea pubens
Prestoea pubigera
